"자치구코드","자치구명","법정동코드","법정동명"
"11110",종로구,"10100",청운동
"11110",종로구,"10200",신교동
"11110",종로구,"10300",궁정동
"11110",종로구,"10400",효자동
"11110",종로구,"10500",창성동
"11110",종로구,"10600",통의동
"11110",종로구,"10700",적선동
"11110",종로구,"10800",통인동
"11110",종로구,"10900",누상동
"11110",종로구,"11000",누하동
"11110",종로구,"11100",옥인동
"11110",종로구,"11200",체부동
"11110",종로구,"11300",필운동
"11110",종로구,"11400",내자동
"11110",종로구,"11500",사직동
"11110",종로구,"11600",도렴동
"11110",종로구,"11700",당주동
"11110",종로구,"11800",내수동
"11110",종로구,"11900",세종로
"11110",종로구,"12000",신문로1가
"11110",종로구,"12100",신문로2가
"11110",종로구,"12200",청진동
"11110",종로구,"12300",서린동
"11110",종로구,"12400",수송동
"11110",종로구,"12500",중학동
"11110",종로구,"12600",종로1가
"11110",종로구,"12700",공평동
"11110",종로구,"12800",관훈동
"11110",종로구,"12900",견지동
"11110",종로구,"13000",와룡동
"11110",종로구,"13100",권농동
"11110",종로구,"13200",운니동
"11110",종로구,"13300",익선동
"11110",종로구,"13400",경운동
"11110",종로구,"13500",관철동
"11110",종로구,"13600",인사동
"11110",종로구,"13700",낙원동
"11110",종로구,"13800",종로2가
"11110",종로구,"13900",팔판동
"11110",종로구,"14000",삼청동
"11110",종로구,"14100",안국동
"11110",종로구,"14200",소격동
"11110",종로구,"14300",화동
"11110",종로구,"14400",사간동
"11110",종로구,"14500",송현동
"11110",종로구,"14600",가회동
"11110",종로구,"14700",재동
"11110",종로구,"14800",계동
"11110",종로구,"14900",원서동
"11110",종로구,"15000",훈정동
"11110",종로구,"15100",묘동
"11110",종로구,"15200",봉익동
"11110",종로구,"15300",돈의동
"11110",종로구,"15400",장사동
"11110",종로구,"15500",관수동
"11110",종로구,"15600",종로3가
"11110",종로구,"15700",인의동
"11110",종로구,"15800",예지동
"11110",종로구,"15900",원남동
"11110",종로구,"16000",연지동
"11110",종로구,"16100",종로4가
"11110",종로구,"16200",효제동
"11110",종로구,"16300",종로5가
"11110",종로구,"16400",종로6가
"11110",종로구,"16500",이화동
"11110",종로구,"16600",연건동
"11110",종로구,"16700",충신동
"11110",종로구,"16800",동숭동
"11110",종로구,"16900",혜화동
"11110",종로구,"17000",명륜1가
"11110",종로구,"17100",명륜2가
"11110",종로구,"17200",명륜4가
"11110",종로구,"17300",명륜3가
"11110",종로구,"17400",창신동
"11110",종로구,"17500",숭인동
"11110",종로구,"17600",교남동
"11110",종로구,"17700",평동
"11110",종로구,"17800",송월동
"11110",종로구,"17900",홍파동
"11110",종로구,"18000",교북동
"11110",종로구,"18100",행촌동
"11110",종로구,"18200",구기동
"11110",종로구,"18300",평창동
"11110",종로구,"18400",부암동
"11110",종로구,"18500",홍지동
"11110",종로구,"18600",신영동
"11110",종로구,"18700",무악동
"11140",중구,"10100",무교동
"11140",중구,"10200",다동
"11140",중구,"10300",태평로1가
"11140",중구,"10400",을지로1가
"11140",중구,"10500",을지로2가
"11140",중구,"10600",남대문로1가
"11140",중구,"10700",삼각동
"11140",중구,"10800",수하동
"11140",중구,"10900",장교동
"11140",중구,"11000",수표동
"11140",중구,"11100",소공동
"11140",중구,"11200",남창동
"11140",중구,"11300",북창동
"11140",중구,"11400",태평로2가
"11140",중구,"11500",남대문로2가
"11140",중구,"11600",남대문로3가
"11140",중구,"11700",남대문로4가
"11140",중구,"11800",남대문로5가
"11140",중구,"11900",봉래동1가
"11140",중구,"12000",봉래동2가
"11140",중구,"12100",회현동1가
"11140",중구,"12200",회현동2가
"11140",중구,"12300",회현동3가
"11140",중구,"12400",충무로1가
"11140",중구,"12500",충무로2가
"11140",중구,"12600",명동1가
"11140",중구,"12700",명동2가
"11140",중구,"12800",남산동1가
"11140",중구,"12900",남산동2가
"11140",중구,"13000",남산동3가
"11140",중구,"13100",저동1가
"11140",중구,"13200",충무로4가
"11140",중구,"13300",충무로5가
"11140",중구,"13400",인현동2가
"11140",중구,"13500",예관동
"11140",중구,"13600",묵정동
"11140",중구,"13700",필동1가
"11140",중구,"13800",필동2가
"11140",중구,"13900",필동3가
"11140",중구,"14000",남학동
"11140",중구,"14100",주자동
"11140",중구,"14200",예장동
"11140",중구,"14300",장충동1가
"11140",중구,"14400",장충동2가
"11140",중구,"14500",광희동1가
"11140",중구,"14600",광희동2가
"11140",중구,"14700",쌍림동
"11140",중구,"14800",을지로6가
"11140",중구,"14900",을지로7가
"11140",중구,"15000",을지로4가
"11140",중구,"15100",을지로5가
"11140",중구,"15200",주교동
"11140",중구,"15300",방산동
"11140",중구,"15400",오장동
"11140",중구,"15500",을지로3가
"11140",중구,"15600",입정동
"11140",중구,"15700",산림동
"11140",중구,"15800",충무로3가
"11140",중구,"15900",초동
"11140",중구,"16000",인현동1가
"11140",중구,"16100",저동2가
"11140",중구,"16200",신당동
"11140",중구,"16300",흥인동
"11140",중구,"16400",무학동
"11140",중구,"16500",황학동
"11140",중구,"16600",서소문동
"11140",중구,"16700",정동
"11140",중구,"16800",순화동
"11140",중구,"16900",의주로1가
"11140",중구,"17000",충정로1가
"11140",중구,"17100",중림동
"11140",중구,"17200",의주로2가
"11140",중구,"17300",만리동1가
"11140",중구,"17400",만리동2가
"11170",용산구,"10100",후암동
"11170",용산구,"10200",용산동2가
"11170",용산구,"10300",용산동4가
"11170",용산구,"10400",갈월동
"11170",용산구,"10500",남영동
"11170",용산구,"10600",용산동1가
"11170",용산구,"10700",동자동
"11170",용산구,"10800",서계동
"11170",용산구,"10900",청파동1가
"11170",용산구,"11000",청파동2가
"11170",용산구,"11100",청파동3가
"11170",용산구,"11200",원효로1가
"11170",용산구,"11300",원효로2가
"11170",용산구,"11400",신창동
"11170",용산구,"11500",산천동
"11170",용산구,"11600",청암동
"11170",용산구,"11700",원효로3가
"11170",용산구,"11800",원효로4가
"11170",용산구,"11900",효창동
"11170",용산구,"12000",도원동
"11170",용산구,"12100",용문동
"11170",용산구,"12200",문배동
"11170",용산구,"12300",신계동
"11170",용산구,"12400",한강로1가
"11170",용산구,"12500",한강로2가
"11170",용산구,"12600",용산동3가
"11170",용산구,"12700",용산동5가
"11170",용산구,"12800",한강로3가
"11170",용산구,"12900",이촌동
"11170",용산구,"13000",이태원동
"11170",용산구,"13100",한남동
"11170",용산구,"13200",동빙고동
"11170",용산구,"13300",서빙고동
"11170",용산구,"13400",주성동
"11170",용산구,"13500",용산동6가
"11170",용산구,"13600",보광동
"11200",성동구,"10100",상왕십리동
"11200",성동구,"10200",하왕십리동
"11200",성동구,"10300",홍익동
"11200",성동구,"10400",도선동
"11200",성동구,"10500",마장동
"11200",성동구,"10600",사근동
"11200",성동구,"10700",행당동
"11200",성동구,"10800",응봉동
"11200",성동구,"10900",금호동1가
"11200",성동구,"11000",금호동2가
"11200",성동구,"11100",금호동3가
"11200",성동구,"11200",금호동4가
"11200",성동구,"11300",옥수동
"11200",성동구,"11400",성수동1가
"11200",성동구,"11500",성수동2가
"11200",성동구,"11800",송정동
"11200",성동구,"12200",용답동
"11215",광진구,"10100",중곡동
"11215",광진구,"10200",능동
"11215",광진구,"10300",구의동
"11215",광진구,"10400",광장동
"11215",광진구,"10500",자양동
"11215",광진구,"10700",화양동
"11215",광진구,"10900",군자동
"11230",동대문구,"10100",신설동
"11230",동대문구,"10200",용두동
"11230",동대문구,"10300",제기동
"11230",동대문구,"10400",전농동
"11230",동대문구,"10500",답십리동
"11230",동대문구,"10600",장안동
"11230",동대문구,"10700",청량리동
"11230",동대문구,"10800",회기동
"11230",동대문구,"10900",휘경동
"11230",동대문구,"11000",이문동
"11260",중랑구,"10100",면목동
"11260",중랑구,"10200",상봉동
"11260",중랑구,"10300",중화동
"11260",중랑구,"10400",묵동
"11260",중랑구,"10500",망우동
"11260",중랑구,"10600",신내동
"11290",성북구,"10100",성북동
"11290",성북구,"10200",성북동1가
"11290",성북구,"10300",돈암동
"11290",성북구,"10400",동소문동1가
"11290",성북구,"10500",동소문동2가
"11290",성북구,"10600",동소문동3가
"11290",성북구,"10700",동소문동4가
"11290",성북구,"10800",동소문동5가
"11290",성북구,"10900",동소문동6가
"11290",성북구,"11000",동소문동7가
"11290",성북구,"11100",삼선동1가
"11290",성북구,"11200",삼선동2가
"11290",성북구,"11300",삼선동3가
"11290",성북구,"11400",삼선동4가
"11290",성북구,"11500",삼선동5가
"11290",성북구,"11600",동선동1가
"11290",성북구,"11700",동선동2가
"11290",성북구,"11800",동선동3가
"11290",성북구,"11900",동선동4가
"11290",성북구,"12000",동선동5가
"11290",성북구,"12100",안암동1가
"11290",성북구,"12200",안암동2가
"11290",성북구,"12300",안암동3가
"11290",성북구,"12400",안암동4가
"11290",성북구,"12500",안암동5가
"11290",성북구,"12600",보문동4가
"11290",성북구,"12700",보문동5가
"11290",성북구,"12800",보문동6가
"11290",성북구,"12900",보문동7가
"11290",성북구,"13000",보문동1가
"11290",성북구,"13100",보문동2가
"11290",성북구,"13200",보문동3가
"11290",성북구,"13300",정릉동
"11290",성북구,"13400",길음동
"11290",성북구,"13500",종암동
"11290",성북구,"13600",하월곡동
"11290",성북구,"13700",상월곡동
"11290",성북구,"13800",장위동
"11290",성북구,"13900",석관동
"11305",강북구,"10100",미아동
"11305",강북구,"10200",번동
"11305",강북구,"10300",수유동
"11305",강북구,"10400",우이동
"11320",도봉구,"10500",쌍문동
"11320",도봉구,"10600",방학동
"11320",도봉구,"10700",창동
"11320",도봉구,"10800",도봉동
"11350",노원구,"10200",월계동
"11350",노원구,"10300",공릉동
"11350",노원구,"10400",하계동
"11350",노원구,"10500",상계동
"11350",노원구,"10600",중계동
"11380",은평구,"10100",수색동
"11380",은평구,"10200",녹번동
"11380",은평구,"10300",불광동
"11380",은평구,"10400",갈현동
"11380",은평구,"10500",구산동
"11380",은평구,"10600",대조동
"11380",은평구,"10700",응암동
"11380",은평구,"10800",역촌동
"11380",은평구,"10900",신사동
"11380",은평구,"11000",증산동
"11380",은평구,"11400",진관동
"11410",서대문구,"10100",충정로2가
"11410",서대문구,"10200",충정로3가
"11410",서대문구,"10300",합동
"11410",서대문구,"10400",미근동
"11410",서대문구,"10500",냉천동
"11410",서대문구,"10600",천연동
"11410",서대문구,"10700",옥천동
"11410",서대문구,"10800",영천동
"11410",서대문구,"10900",현저동
"11410",서대문구,"11000",북아현동
"11410",서대문구,"11100",홍제동
"11410",서대문구,"11200",대현동
"11410",서대문구,"11300",대신동
"11410",서대문구,"11400",신촌동
"11410",서대문구,"11500",봉원동
"11410",서대문구,"11600",창천동
"11410",서대문구,"11700",연희동
"11410",서대문구,"11800",홍은동
"11410",서대문구,"11900",북가좌동
"11410",서대문구,"12000",남가좌동
"11440",마포구,"10100",아현동
"11440",마포구,"10200",공덕동
"11440",마포구,"10300",신공덕동
"11440",마포구,"10400",도화동
"11440",마포구,"10500",용강동
"11440",마포구,"10600",토정동
"11440",마포구,"10700",마포동
"11440",마포구,"10800",대흥동
"11440",마포구,"10900",염리동
"11440",마포구,"11000",노고산동
"11440",마포구,"11100",신수동
"11440",마포구,"11200",현석동
"11440",마포구,"11300",구수동
"11440",마포구,"11400",창전동
"11440",마포구,"11500",상수동
"11440",마포구,"11600",하중동
"11440",마포구,"11700",신정동
"11440",마포구,"11800",당인동
"11440",마포구,"12000",서교동
"11440",마포구,"12100",동교동
"11440",마포구,"12200",합정동
"11440",마포구,"12300",망원동
"11440",마포구,"12400",연남동
"11440",마포구,"12500",성산동
"11440",마포구,"12600",중동
"11440",마포구,"12700",상암동
"11470",양천구,"10100",신정동
"11470",양천구,"10200",목동
"11470",양천구,"10300",신월동
"11500",강서구,"10100",염창동
"11500",강서구,"10200",등촌동
"11500",강서구,"10300",화곡동
"11500",강서구,"10400",가양동
"11500",강서구,"10500",마곡동
"11500",강서구,"10600",내발산동
"11500",강서구,"10700",외발산동
"11500",강서구,"10800",공항동
"11500",강서구,"10900",방화동
"11500",강서구,"11000",개화동
"11500",강서구,"11100",과해동
"11500",강서구,"11200",오곡동
"11500",강서구,"11300",오쇠동
"11530",구로구,"10100",신도림동
"11530",구로구,"10200",구로동
"11530",구로구,"10300",가리봉동
"11530",구로구,"10600",고척동
"11530",구로구,"10700",개봉동
"11530",구로구,"10800",오류동
"11530",구로구,"10900",궁동
"11530",구로구,"11000",온수동
"11530",구로구,"11100",천왕동
"11530",구로구,"11200",항동
"11545",금천구,"10100",가산동
"11545",금천구,"10200",독산동
"11545",금천구,"10300",시흥동
"11560",영등포구,"10100",영등포동
"11560",영등포구,"10200",영등포동1가
"11560",영등포구,"10300",영등포동2가
"11560",영등포구,"10400",영등포동3가
"11560",영등포구,"10500",영등포동4가
